Variable,Value
latest.programs.cip_4_digit.81.debt.staff_grad_plus.male.eval_inst.median,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.male.eval_inst.average,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.pell.all_inst.count,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.pell.all_inst.median,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.pell.all_inst.average,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.pell.eval_inst.count,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.pell.eval_inst.median,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.pell.eval_inst.average,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.not_male.all_inst.count,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.not_male.all_inst.median,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.not_male.all_inst.average,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.not_male.eval_inst.count,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.not_male.eval_inst.median,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.not_male.eval_inst.average,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.not_pell.all_inst.count,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.not_pell.all_inst.median,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.not_pell.all_inst.average,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.not_pell.eval_inst.count,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.not_pell.eval_inst.median,
latest.programs.cip_4_digit.81.debt.staff_grad_plus.not_pell.eval_inst.average,
latest.programs.cip_4_digit.82.code,5110
latest.programs.cip_4_digit.82.title,Clinical/Medical Laboratory Science/Research and Allied Professions.
latest.programs.cip_4_digit.82.ope6_id,006911
latest.programs.cip_4_digit.82.unit_id,163426
latest.programs.cip_4_digit.82.distance,1
latest.programs.cip_4_digit.82.school.name,Montgomery College
latest.programs.cip_4_digit.82.school.type,Public
latest.programs.cip_4_digit.82.school.main_campus,1
latest.programs.cip_4_digit.82.credential.level,2
latest.programs.cip_4_digit.82.credential.title,Associate's Degree
latest.programs.cip_4_digit.82.counts.ipeds_awards1,0
latest.programs.cip_4_digit.82.counts.ipeds_awards2,0
latest.programs.cip_4_digit.82.repayment.1_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.82.repayment.1_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.82.repayment.1_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.82.repayment.1_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.82.repayment.1_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.82.repayment.1_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.82.repayment.1_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.82.repayment.1_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.82.repayment.1_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.82.repayment.2_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.82.repayment.2_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.82.repayment.2_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.82.repayment.2_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.82.repayment.2_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.82.repayment.2_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.82.repayment.2_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.82.repayment.2_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.82.repayment.2_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.82.repayment.3_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.82.repayment.3_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.82.repayment.3_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.82.repayment.3_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.82.repayment.3_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.82.repayment.3_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.82.repayment.3_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.82.repayment.3_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.82.repayment.3_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.82.repayment.4_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.82.repayment.4_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.82.repayment.4_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.82.repayment.4_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.82.repayment.4_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.82.repayment.4_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.82.repayment.4_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.82.repayment.4_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.82.repayment.4_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.82.earnings.1_yr.male_median_earnings,
latest.programs.cip_4_digit.82.earnings.1_yr.pell_median_earnings,
latest.programs.cip_4_digit.82.earnings.1_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.82.earnings.1_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.82.earnings.1_yr.overall_median_earnings,
latest.programs.cip_4_digit.82.earnings.1_yr.overall_count_more_than_HS_Grad,
latest.programs.cip_4_digit.82.earnings.1_yr.working_not_enrolled.male_count,
latest.programs.cip_4_digit.82.earnings.1_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.82.earnings.1_yr.working_not_enrolled.nonmale_count,
latest.programs.cip_4_digit.82.earnings.1_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.82.earnings.1_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.82.earnings.1_yr.not_working_not_enrolled.overall_count,
latest.programs.cip_4_digit.82.earnings.1_yr.overall_count_awarded_higher_credential,
latest.programs.cip_4_digit.82.earnings.1_yr.overall_count_working_in_institution_state,
latest.programs.cip_4_digit.82.earnings.4_yr.male_median_earnings,
latest.programs.cip_4_digit.82.earnings.4_yr.pell_median_earnings,
latest.programs.cip_4_digit.82.earnings.4_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.82.earnings.4_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.82.earnings.4_yr.overall_median_earnings,
latest.programs.cip_4_digit.82.earnings.4_yr.overall_count_more_than_HS_Grad,
latest.programs.cip_4_digit.82.earnings.4_yr.working_not_enrolled.male_count,
latest.programs.cip_4_digit.82.earnings.4_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.82.earnings.4_yr.working_not_enrolled.nonmale_count,
latest.programs.cip_4_digit.82.earnings.4_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.82.earnings.4_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.82.earnings.4_yr.not_working_not_enrolled.overall_count,
latest.programs.cip_4_digit.82.earnings.4_yr.overall_count_awarded_higher_credential,
latest.programs.cip_4_digit.82.earnings.4_yr.overall_count_working_in_institution_state,
latest.programs.cip_4_digit.82.earnings.5_yr.male_median_earnings,
latest.programs.cip_4_digit.82.earnings.5_yr.pell_median_earnings,
latest.programs.cip_4_digit.82.earnings.5_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.82.earnings.5_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.82.earnings.5_yr.overall_median_earnings,
latest.programs.cip_4_digit.82.earnings.5_yr.overall_count_more_than_HS_Grad,
latest.programs.cip_4_digit.82.earnings.5_yr.working_not_enrolled.male_count,
latest.programs.cip_4_digit.82.earnings.5_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.82.earnings.5_yr.working_not_enrolled.nonmale_count,
latest.programs.cip_4_digit.82.earnings.5_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.82.earnings.5_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.82.earnings.5_yr.not_working_not_enrolled.overall_count,
latest.programs.cip_4_digit.82.earnings.5_yr.overall_count_awarded_higher_credential,
latest.programs.cip_4_digit.82.earnings.5_yr.overall_count_working_in_institution_state,
latest.programs.cip_4_digit.82.earnings.highest.3_yr.male_median_earnings,
latest.programs.cip_4_digit.82.earnings.highest.3_yr.pell_median_earnings,
latest.programs.cip_4_digit.82.earnings.highest.3_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.82.earnings.highest.3_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.82.earnings.highest.3_yr.not_enrolled.male_count,
latest.programs.cip_4_digit.82.earnings.highest.3_yr.not_enrolled.pell_count,
latest.programs.cip_4_digit.82.earnings.highest.3_yr.not_enrolled.nonmale_count,
latest.programs.cip_4_digit.82.earnings.highest.3_yr.not_enrolled.nonpell_count,
latest.programs.cip_4_digit.82.earnings.highest.3_yr.not_enrolled.overall_count,
latest.programs.cip_4_digit.82.earnings.highest.3_yr.overall_median_earnings,
latest.programs.cip_4_digit.82.earnings.highest.3_yr.overall_count_over_poverty_line,
latest.programs.cip_4_digit.82.earnings.highest.3_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.82.earnings.highest.1_yr.overall_median_earnings,
latest.programs.cip_4_digit.82.earnings.highest.1_yr.overall_count_over_poverty_line,
latest.programs.cip_4_digit.82.earnings.highest.1_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.82.earnings.highest.1_yr.not_working_not_enrolled.overall_count,
latest.programs.cip_4_digit.82.earnings.highest.2_yr.overall_median_earnings,
latest.programs.cip_4_digit.82.earnings.highest.2_yr.overall_count_over_poverty_line,
latest.programs.cip_4_digit.82.earnings.highest.2_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.82.earnings.highest.2_yr.not_working_not_enrolled.overall_count,
latest.programs.cip_4_digit.82.debt.parent_plus.all.all_inst.count,
latest.programs.cip_4_digit.82.debt.parent_plus.all.all_inst.median,
latest.programs.cip_4_digit.82.debt.parent_plus.all.all_inst.average,
latest.programs.cip_4_digit.82.debt.parent_plus.all.all_inst.median_payment,
latest.programs.cip_4_digit.82.debt.parent_plus.all.eval_inst.count,
latest.programs.cip_4_digit.82.debt.parent_plus.all.eval_inst.median,
latest.programs.cip_4_digit.82.debt.parent_plus.all.eval_inst.average,
latest.programs.cip_4_digit.82.debt.parent_plus.all.eval_inst.median_payment,
latest.programs.cip_4_digit.82.debt.parent_plus.male.all_inst.count,
latest.programs.cip_4_digit.82.debt.parent_plus.male.all_inst.median,
latest.programs.cip_4_digit.82.debt.parent_plus.male.all_inst.average,
latest.programs.cip_4_digit.82.debt.parent_plus.male.eval_inst.count,
latest.programs.cip_4_digit.82.debt.parent_plus.male.eval_inst.median,
latest.programs.cip_4_digit.82.debt.parent_plus.male.eval_inst.average,
latest.programs.cip_4_digit.82.debt.parent_plus.pell.all_inst.count,
latest.programs.cip_4_digit.82.debt.parent_plus.pell.all_inst.median,
latest.programs.cip_4_digit.82.debt.parent_plus.pell.all_inst.average,
latest.programs.cip_4_digit.82.debt.parent_plus.pell.eval_inst.count,
latest.programs.cip_4_digit.82.debt.parent_plus.pell.eval_inst.median,
latest.programs.cip_4_digit.82.debt.parent_plus.pell.eval_inst.average,
latest.programs.cip_4_digit.82.debt.parent_plus.not_male.all_inst.count,
latest.programs.cip_4_digit.82.debt.parent_plus.not_male.all_inst.median,
latest.programs.cip_4_digit.82.debt.parent_plus.not_male.all_inst.average,
latest.programs.cip_4_digit.82.debt.parent_plus.not_male.eval_inst.count,
latest.programs.cip_4_digit.82.debt.parent_plus.not_male.eval_inst.median,
latest.programs.cip_4_digit.82.debt.parent_plus.not_male.eval_inst.average,
latest.programs.cip_4_digit.82.debt.parent_plus.not_pell.all_inst.count,
latest.programs.cip_4_digit.82.debt.parent_plus.not_pell.all_inst.median,
latest.programs.cip_4_digit.82.debt.parent_plus.not_pell.all_inst.average,
latest.programs.cip_4_digit.82.debt.parent_plus.not_pell.eval_inst.count,
latest.programs.cip_4_digit.82.debt.parent_plus.not_pell.eval_inst.median,
latest.programs.cip_4_digit.82.debt.parent_plus.not_pell.eval_inst.average,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.all.all_inst.count,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.all.all_inst.median,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.all.all_inst.average,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.all.all_inst.median_payment,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.all.eval_inst.count,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.all.eval_inst.median,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.all.eval_inst.average,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.all.eval_inst.median_payment,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.male.all_inst.count,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.male.all_inst.median,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.male.all_inst.average,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.male.eval_inst.count,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.male.eval_inst.median,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.male.eval_inst.average,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.pell.all_inst.count,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.pell.all_inst.median,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.pell.all_inst.average,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.pell.eval_inst.count,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.pell.eval_inst.median,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.pell.eval_inst.average,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.not_male.all_inst.count,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.not_male.all_inst.median,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.not_male.all_inst.average,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.not_male.eval_inst.count,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.not_male.eval_inst.median,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.not_male.eval_inst.average,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.not_pell.all_inst.count,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.not_pell.all_inst.median,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.not_pell.all_inst.average,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.not_pell.eval_inst.count,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.not_pell.eval_inst.median,
latest.programs.cip_4_digit.82.debt.staff_grad_plus.not_pell.eval_inst.average,
latest.programs.cip_4_digit.83.code,5115
latest.programs.cip_4_digit.83.title,Mental and Social Health Services and Allied Professions.
latest.programs.cip_4_digit.83.ope6_id,006911
latest.programs.cip_4_digit.83.unit_id,163426
latest.programs.cip_4_digit.83.distance,1
latest.programs.cip_4_digit.83.school.name,Montgomery College
latest.programs.cip_4_digit.83.school.type,Public
latest.programs.cip_4_digit.83.school.main_campus,1
latest.programs.cip_4_digit.83.credential.level,2
latest.programs.cip_4_digit.83.credential.title,Associate's Degree
latest.programs.cip_4_digit.83.counts.ipeds_awards1,11
latest.programs.cip_4_digit.83.counts.ipeds_awards2,1
latest.programs.cip_4_digit.83.repayment.1_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.83.repayment.1_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.83.repayment.1_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.83.repayment.1_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.83.repayment.1_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.83.repayment.1_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.83.repayment.1_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.83.repayment.1_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.83.repayment.1_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.83.repayment.2_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.83.repayment.2_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.83.repayment.2_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.83.repayment.2_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.83.repayment.2_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.83.repayment.2_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.83.repayment.2_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.83.repayment.2_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.83.repayment.2_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.83.repayment.3_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.83.repayment.3_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.83.repayment.3_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.83.repayment.3_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.83.repayment.3_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.83.repayment.3_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.83.repayment.3_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.83.repayment.3_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.83.repayment.3_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.83.repayment.4_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.83.repayment.4_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.83.repayment.4_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.83.repayment.4_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.83.repayment.4_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.83.repayment.4_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.83.repayment.4_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.83.repayment.4_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.83.repayment.4_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.83.earnings.1_yr.male_median_earnings,
latest.programs.cip_4_digit.83.earnings.1_yr.pell_median_earnings,
latest.programs.cip_4_digit.83.earnings.1_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.83.earnings.1_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.83.earnings.1_yr.overall_median_earnings,
latest.programs.cip_4_digit.83.earnings.1_yr.overall_count_more_than_HS_Grad,
latest.programs.cip_4_digit.83.earnings.1_yr.working_not_enrolled.male_count,
latest.programs.cip_4_digit.83.earnings.1_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.83.earnings.1_yr.working_not_enrolled.nonmale_count,
latest.programs.cip_4_digit.83.earnings.1_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.83.earnings.1_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.83.earnings.1_yr.not_working_not_enrolled.overall_count,
latest.programs.cip_4_digit.83.earnings.1_yr.overall_count_awarded_higher_credential,
latest.programs.cip_4_digit.83.earnings.1_yr.overall_count_working_in_institution_state,
latest.programs.cip_4_digit.83.earnings.4_yr.male_median_earnings,
latest.programs.cip_4_digit.83.earnings.4_yr.pell_median_earnings,
latest.programs.cip_4_digit.83.earnings.4_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.83.earnings.4_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.83.earnings.4_yr.overall_median_earnings,
latest.programs.cip_4_digit.83.earnings.4_yr.overall_count_more_than_HS_Grad,
latest.programs.cip_4_digit.83.earnings.4_yr.working_not_enrolled.male_count,
latest.programs.cip_4_digit.83.earnings.4_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.83.earnings.4_yr.working_not_enrolled.nonmale_count,
latest.programs.cip_4_digit.83.earnings.4_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.83.earnings.4_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.83.earnings.4_yr.not_working_not_enrolled.overall_count,1
latest.programs.cip_4_digit.83.earnings.4_yr.overall_count_awarded_higher_credential,
latest.programs.cip_4_digit.83.earnings.4_yr.overall_count_working_in_institution_state,
latest.programs.cip_4_digit.83.earnings.5_yr.male_median_earnings,
latest.programs.cip_4_digit.83.earnings.5_yr.pell_median_earnings,
latest.programs.cip_4_digit.83.earnings.5_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.83.earnings.5_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.83.earnings.5_yr.overall_median_earnings,
latest.programs.cip_4_digit.83.earnings.5_yr.overall_count_more_than_HS_Grad,
latest.programs.cip_4_digit.83.earnings.5_yr.working_not_enrolled.male_count,
latest.programs.cip_4_digit.83.earnings.5_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.83.earnings.5_yr.working_not_enrolled.nonmale_count,
latest.programs.cip_4_digit.83.earnings.5_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.83.earnings.5_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.83.earnings.5_yr.not_working_not_enrolled.overall_count,2
latest.programs.cip_4_digit.83.earnings.5_yr.overall_count_awarded_higher_credential,
latest.programs.cip_4_digit.83.earnings.5_yr.overall_count_working_in_institution_state,
latest.programs.cip_4_digit.83.earnings.highest.3_yr.male_median_earnings,
latest.programs.cip_4_digit.83.earnings.highest.3_yr.pell_median_earnings,
latest.programs.cip_4_digit.83.earnings.highest.3_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.83.earnings.highest.3_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.83.earnings.highest.3_yr.not_enrolled.male_count,
latest.programs.cip_4_digit.83.earnings.highest.3_yr.not_enrolled.pell_count,
latest.programs.cip_4_digit.83.earnings.highest.3_yr.not_enrolled.nonmale_count,
latest.programs.cip_4_digit.83.earnings.highest.3_yr.not_enrolled.nonpell_count,
latest.programs.cip_4_digit.83.earnings.highest.3_yr.not_enrolled.overall_count,
latest.programs.cip_4_digit.83.earnings.highest.3_yr.overall_median_earnings,
latest.programs.cip_4_digit.83.earnings.highest.3_yr.overall_count_over_poverty_line,
latest.programs.cip_4_digit.83.earnings.highest.3_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.83.earnings.highest.1_yr.overall_median_earnings,
latest.programs.cip_4_digit.83.earnings.highest.1_yr.overall_count_over_poverty_line,
latest.programs.cip_4_digit.83.earnings.highest.1_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.83.earnings.highest.1_yr.not_working_not_enrolled.overall_count,0
latest.programs.cip_4_digit.83.earnings.highest.2_yr.overall_median_earnings,
latest.programs.cip_4_digit.83.earnings.highest.2_yr.overall_count_over_poverty_line,
latest.programs.cip_4_digit.83.earnings.highest.2_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.83.earnings.highest.2_yr.not_working_not_enrolled.overall_count,
latest.programs.cip_4_digit.83.debt.parent_plus.all.all_inst.count,
latest.programs.cip_4_digit.83.debt.parent_plus.all.all_inst.median,
latest.programs.cip_4_digit.83.debt.parent_plus.all.all_inst.average,
latest.programs.cip_4_digit.83.debt.parent_plus.all.all_inst.median_payment,
latest.programs.cip_4_digit.83.debt.parent_plus.all.eval_inst.count,
latest.programs.cip_4_digit.83.debt.parent_plus.all.eval_inst.median,
latest.programs.cip_4_digit.83.debt.parent_plus.all.eval_inst.average,
latest.programs.cip_4_digit.83.debt.parent_plus.all.eval_inst.median_payment,
latest.programs.cip_4_digit.83.debt.parent_plus.male.all_inst.count,
latest.programs.cip_4_digit.83.debt.parent_plus.male.all_inst.median,
latest.programs.cip_4_digit.83.debt.parent_plus.male.all_inst.average,
latest.programs.cip_4_digit.83.debt.parent_plus.male.eval_inst.count,
latest.programs.cip_4_digit.83.debt.parent_plus.male.eval_inst.median,
latest.programs.cip_4_digit.83.debt.parent_plus.male.eval_inst.average,
latest.programs.cip_4_digit.83.debt.parent_plus.pell.all_inst.count,
latest.programs.cip_4_digit.83.debt.parent_plus.pell.all_inst.median,
latest.programs.cip_4_digit.83.debt.parent_plus.pell.all_inst.average,
latest.programs.cip_4_digit.83.debt.parent_plus.pell.eval_inst.count,
latest.programs.cip_4_digit.83.debt.parent_plus.pell.eval_inst.median,
latest.programs.cip_4_digit.83.debt.parent_plus.pell.eval_inst.average,
latest.programs.cip_4_digit.83.debt.parent_plus.not_male.all_inst.count,
latest.programs.cip_4_digit.83.debt.parent_plus.not_male.all_inst.median,
latest.programs.cip_4_digit.83.debt.parent_plus.not_male.all_inst.average,
latest.programs.cip_4_digit.83.debt.parent_plus.not_male.eval_inst.count,
latest.programs.cip_4_digit.83.debt.parent_plus.not_male.eval_inst.median,
latest.programs.cip_4_digit.83.debt.parent_plus.not_male.eval_inst.average,
latest.programs.cip_4_digit.83.debt.parent_plus.not_pell.all_inst.count,
latest.programs.cip_4_digit.83.debt.parent_plus.not_pell.all_inst.median,
latest.programs.cip_4_digit.83.debt.parent_plus.not_pell.all_inst.average,
latest.programs.cip_4_digit.83.debt.parent_plus.not_pell.eval_inst.count,
latest.programs.cip_4_digit.83.debt.parent_plus.not_pell.eval_inst.median,
latest.programs.cip_4_digit.83.debt.parent_plus.not_pell.eval_inst.average,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.all.all_inst.count,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.all.all_inst.median,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.all.all_inst.average,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.all.all_inst.median_payment,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.all.eval_inst.count,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.all.eval_inst.median,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.all.eval_inst.average,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.all.eval_inst.median_payment,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.male.all_inst.count,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.male.all_inst.median,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.male.all_inst.average,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.male.eval_inst.count,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.male.eval_inst.median,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.male.eval_inst.average,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.pell.all_inst.count,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.pell.all_inst.median,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.pell.all_inst.average,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.pell.eval_inst.count,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.pell.eval_inst.median,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.pell.eval_inst.average,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.not_male.all_inst.count,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.not_male.all_inst.median,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.not_male.all_inst.average,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.not_male.eval_inst.count,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.not_male.eval_inst.median,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.not_male.eval_inst.average,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.not_pell.all_inst.count,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.not_pell.all_inst.median,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.not_pell.all_inst.average,
